,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
82,goderich,CA,43.7501,-81.7165,70.92,64,0,0.0,clear sky
83,te anau,NZ,-45.4167,167.7167,43.43,95,83,7.34,broken clouds
84,batagay-alyta,RU,67.8006,130.4114,28.04,79,82,1.41,broken clouds
85,ichchapuram,IN,19.1167,84.7,79.09,82,100,3.06,overcast clouds
86,orasac,BA,44.6289,16.0711,60.17,99,89,0.22,overcast clouds
87,tuktoyaktuk,CA,69.4541,-133.0374,44.6,57,40,20.71,scattered clouds
88,sao filipe,CV,14.8961,-24.4956,79.84,81,97,10.6,overcast clouds
89,fort nelson,CA,58.8053,-122.7002,56.79,51,75,5.75,broken clouds
90,albany,US,42.6001,-73.9662,63.21,80,4,2.46,clear sky
91,tessalit,ML,20.1986,1.0114,89.58,11,0,7.52,clear sky
92,chokurdakh,RU,70.6333,147.9167,30.2,65,94,10.47,overcast clouds
93,khuzdar,PK,27.7384,66.6434,78.17,61,6,4.74,clear sky
94,motril,ES,36.7507,-3.5179,73.27,90,23,2.19,few clouds
95,birao,CF,10.2849,22.7882,70.86,94,100,3.83,moderate rain
96,ilulissat,GL,69.2167,-51.1,23.02,58,20,5.75,few clouds
97,port elizabeth,ZA,-33.918,25.5701,57.49,77,0,11.5,clear sky
98,umm lajj,SA,25.0213,37.2685,83.07,62,7,8.46,clear sky
99,port alfred,ZA,-33.5906,26.891,60.62,83,69,12.33,broken clouds
100,tres lagoas,BR,-20.7511,-51.6783,87.24,19,16,6.11,few clouds
101,divnomorskoye,RU,44.5011,38.1353,67.33,89,86,13.44,overcast clouds
102,lavrentiya,RU,65.5833,-171.0,33.03,59,14,12.44,few clouds
103,provideniya,RU,64.3833,-173.3,35.71,51,20,11.18,few clouds
104,nehe,CN,48.4833,124.8333,51.31,81,62,7.02,broken clouds
105,bosaso,SO,11.2842,49.1816,89.19,54,14,6.4,few clouds
106,sobolevo,RU,54.4299,31.8996,42.87,96,100,12.46,overcast clouds
