City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
607,nabire,ID,78.06,light rain,-3.3667,135.4833,Hotel Nusantara Nabire
612,hambantota,LK,79.14,scattered clouds,6.1241,81.1185,Bungalow 63
615,porto novo,BJ,80.42,overcast clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
621,clarksburg,US,78.91,clear sky,39.2807,-80.3445,Greenbrier Motel & Restaurant
623,trairi,BR,78.51,broken clouds,-3.2778,-39.2689,janelas do mar
624,karratha,AU,80.74,few clouds,-20.7377,116.8463,ibis Styles Karratha
627,lucea,JM,84.06,broken clouds,18.451,-78.1736,Grand Palladium Jamaica Resort & Spa
636,marsh harbour,BS,83.32,broken clouds,26.5412,-77.0636,Abaco Beach Resort
640,morros,BR,82.45,scattered clouds,-9.4467,-46.3003,
647,lethem,GY,79.86,overcast clouds,3.3803,-59.7968,Savannah Inn
654,lalsot,IN,79.47,broken clouds,26.5667,76.3333,YADAV HOUSE LALSOT
655,aquiraz,BR,80.69,broken clouds,-3.9014,-38.3911,Pousada Rua Camurupim
658,nishihara,JP,79.88,few clouds,26.1842,127.7558,Minshuku Agaihama
659,mahibadhoo,MV,81.97,broken clouds,3.7833,72.9667,Omadhoo Inn
666,estelle,US,83.03,clear sky,29.8458,-90.1067,Boomtown Casino & Hotel New Orleans
667,gizo,SB,82.04,light rain,-8.103,156.8419,Imagination Island
673,bonito,BR,84.99,few clouds,-21.1211,-56.4819,Marruá Hotel
674,esna,EG,80.62,clear sky,25.2934,32.554,Orient Star Dahabyia Isna 05 Nights Each Sunday
681,pizarro,CO,78.75,light rain,4.9533,-77.366,Hotel Limonar
682,balabac,PH,82.11,broken clouds,7.9868,117.0645,Sing and Swing Lodge
685,grandview,US,84.31,clear sky,38.8858,-94.533,Holiday Inn Express & Suites Kansas City-Grandview
